% Laskar et al. 2004, original file name "data_insolaout6HoGWM.txt".
%   Age (kyr)  Eccentricity      Obliquity     Precession
    -843.000       0.027896      -0.026706       0.401319
    -842.000       0.027113      -0.022267       0.401619
    -841.000       0.026386      -0.015966       0.402056
    -840.000       0.025552      -0.008424       0.402622
    -839.000       0.024774      -0.000511       0.403305
    -838.000       0.024023       0.006993       0.404091
    -837.000       0.023178       0.013332       0.404963
    -836.000       0.022441       0.018015       0.405900
    -835.000       0.021657       0.020542       0.406882
    -834.000       0.020931       0.020931       0.407883
    -833.000       0.020169       0.019139       0.408878
    -832.000       0.019451       0.015574       0.409841
    -831.000       0.018780       0.010631       0.410741
    -830.000       0.018067       0.004974       0.411553
    -829.000       0.017382      -0.000854       0.412251
    -828.000       0.016799      -0.006185       0.412810
    -827.000       0.016116      -0.010499       0.413211
    -826.000       0.015552      -0.013439       0.413438
    -825.000       0.014979      -0.014702       0.413477
    -824.000       0.014441      -0.014281       0.413328
    -823.000       0.013967      -0.012293       0.412989
    -822.000       0.013450      -0.009002       0.412469
    -821.000       0.013110      -0.004847       0.411779
    -820.000       0.012714      -0.000291       0.410935
    -819.000       0.012382       0.004070       0.409959
    -818.000       0.012190       0.007836       0.408878
    -817.000       0.011993       0.010477       0.407717
    -816.000       0.011880       0.011769       0.406509
    -815.000       0.011832       0.011531       0.405289
    -814.000       0.011874       0.009831       0.404090
    -813.000       0.011948       0.006797       0.402950
    -812.000       0.012063       0.002926       0.401909
    -811.000       0.012261      -0.001496       0.400996
    -810.000       0.012502      -0.005776       0.400247
    -809.000       0.012721      -0.009472       0.399689
    -808.000       0.013024      -0.012112       0.399339
    -807.000       0.013340      -0.013336       0.399214
    -806.000       0.013653      -0.012930       0.399319
    -805.000       0.014003      -0.010953       0.399650
    -804.000       0.014323      -0.007566       0.400201
    -803.000       0.014776      -0.003089       0.400955
    -802.000       0.015078       0.001900       0.401888
    -801.000       0.015486       0.006909       0.402977
    -800.000       0.015927       0.011391       0.404191
    -799.000       0.016289       0.014713       0.405493
    -798.000       0.016699       0.016591       0.406853
    -797.000       0.017116       0.016748       0.408234
    -796.000       0.017491       0.015048       0.409597
    -795.000       0.017874       0.011749       0.410910
    -794.000       0.018208       0.007086       0.412139
    -793.000       0.018575       0.001503       0.413253
    -792.000       0.018878      -0.004371       0.414224
    -791.000       0.019134      -0.009962       0.415027
    -790.000       0.019442      -0.014747       0.415643
    -789.000       0.019648      -0.018106       0.416062
    -788.000       0.019846      -0.019776       0.416271
    -787.000       0.020018      -0.019519       0.416270
    -786.000       0.020188      -0.017345       0.416064
    -785.000       0.020261      -0.013370       0.415658
    -784.000       0.020366      -0.008155       0.415066
    -783.000       0.020419      -0.001970       0.414306
    -782.000       0.020483       0.004356       0.413395
    -781.000       0.020448       0.010307       0.412355
    -780.000       0.020444       0.015239       0.411208
    -779.000       0.020436       0.018690       0.409976
    -778.000       0.020288       0.020186       0.408684
    -777.000       0.020210       0.019756       0.407356
    -776.000       0.020041       0.017318       0.406017
    -775.000       0.019848       0.013164       0.404696
    -774.000       0.019608       0.007821       0.403418
    -773.000       0.019309       0.001790       0.402209
    -772.000       0.019049      -0.004309       0.401094
    -771.000       0.018632      -0.009686       0.400095
    -770.000       0.018243      -0.013928       0.399232
    -769.000       0.017857      -0.016579       0.398519
    -768.000       0.017332      -0.017306       0.397970
    -767.000       0.016832      -0.016217       0.397589
    -766.000       0.016342      -0.013517       0.397384
    -765.000       0.015723      -0.009393       0.397357
    -764.000       0.015183      -0.004651       0.397509
    -763.000       0.014525       0.000351       0.397840
    -762.000       0.013947       0.004921       0.398348
    -761.000       0.013299       0.008585       0.399025
    -760.000       0.012596       0.010887       0.399866
    -759.000       0.012016       0.011822       0.400859
    -758.000       0.011303       0.011136       0.401990
    -757.000       0.010641       0.009176       0.403242
    -756.000       0.009993       0.006287       0.404592
    -755.000       0.009348       0.002802       0.406014
    -754.000       0.008737      -0.000691       0.407485
    -753.000       0.008125      -0.003687       0.408975
    -752.000       0.007628      -0.005889       0.410454
    -751.000       0.007234      -0.006985       0.411897
    -750.000       0.006833      -0.006719       0.413272
    -749.000       0.006731      -0.005439       0.414553
    -748.000       0.006696      -0.003077       0.415715
    -747.000       0.006878      -0.000129       0.416736
    -746.000       0.007220       0.002981       0.417588
    -745.000       0.007657       0.005776       0.418254
    -744.000       0.008345       0.007962       0.418716
    -743.000       0.008946       0.008907       0.418955
    -742.000       0.009730       0.008663       0.418962
    -741.000       0.010547       0.007053       0.418728
    -740.000       0.011370       0.004101       0.418248
    -739.000       0.012256       0.000261       0.417530
    -738.000       0.013127      -0.004129       0.416580
    -737.000       0.014079      -0.008648       0.415412
    -736.000       0.014977      -0.012538       0.414053
    -735.000       0.015893      -0.015408       0.412525
    -734.000       0.016862      -0.016811       0.410860
    -733.000       0.017779      -0.016359       0.409097
    -732.000       0.018703      -0.013978       0.407270
    -731.000       0.019648      -0.009882       0.405419
    -730.000       0.020570      -0.004185       0.403589
    -729.000       0.021498       0.002419       0.401820
    -728.000       0.022396       0.009315       0.400154
    -727.000       0.023291       0.015791       0.398635
    -726.000       0.024221       0.021134       0.397301
    -725.000       0.024985       0.024505       0.396188
    -724.000       0.025892       0.025719       0.395330
    -723.000       0.026679       0.024257       0.394748
    -722.000       0.027409       0.020224       0.394460
    -721.000       0.028195       0.013994       0.394477
    -720.000       0.028890       0.006016       0.394790
    -719.000       0.029574      -0.002994       0.395390
    -718.000       0.030231      -0.011991       0.396262
    -717.000       0.030848      -0.020239       0.397371
    -716.000       0.031499      -0.026878       0.398689
    -715.000       0.032039      -0.031089       0.400181
    -714.000       0.032606      -0.032548       0.401804
    -713.000       0.033204      -0.031053       0.403520
    -712.000       0.033662      -0.026534       0.405288
    -711.000       0.034215      -0.019542       0.407062
    -710.000       0.034687      -0.010638       0.408805
    -709.000       0.035163      -0.000453       0.410479
    -708.000       0.035587       0.009880       0.412043
    -707.000       0.036010       0.019564       0.413467
    -706.000       0.036409       0.027816       0.414724
    -705.000       0.036758       0.033697       0.415786
    -704.000       0.037067       0.036805       0.416638
    -703.000       0.037431       0.036883       0.417266
    -702.000       0.037651       0.033714       0.417661
    -701.000       0.037914       0.027697       0.417825
    -700.000       0.038151       0.019305       0.417763
    -699.000       0.038327       0.009135       0.417481
    -698.000       0.038501      -0.001916       0.416995
    -697.000       0.038615      -0.012781       0.416321
    -696.000       0.038775      -0.022809       0.415477
    -695.000       0.038831      -0.030864       0.414486
    -694.000       0.038883      -0.036356       0.413371
    -693.000       0.038963      -0.038866       0.412154
    -692.000       0.038974      -0.038036       0.410863
    -691.000       0.038942      -0.033945       0.409523
    -690.000       0.038960      -0.027059       0.408160
    -689.000       0.038914      -0.017787       0.406802
    -688.000       0.038799      -0.007025       0.405479
    -687.000       0.038759       0.004243       0.404215
    -686.000       0.038583       0.015149       0.403038
    -685.000       0.038456       0.024681       0.401971
    -684.000       0.038241       0.031972       0.401033
    -683.000       0.038021       0.036462       0.400242
    -682.000       0.037805       0.037804       0.399611
    -681.000       0.037466       0.035788       0.399149
    -680.000       0.037170       0.030795       0.398860
    -679.000       0.036866       0.023284       0.398748
    -678.000       0.036420       0.013808       0.398813
