"NEW_depth_cm"	"Zr_Al"	"Ti_Al"	"Fe_Al"	"Ca_Ti"	"Rb_Ti"	"Si_Al"	"Br_cps"	"Sr_Ca"	"age_ka"
630	0.561777950939918	0.75127313964501	2.65318861277857	4.59590293129207	-1.24581787780686	2.33089274511838	2252	-2.34807825505831	141.206
631	0.679458753899368	0.767363045037233	2.71757169623776	4.54838089797372	-1.29009206375178	2.31280459882753	2169	-2.29561384646265	141.508
632	0.684302669915161	0.758714077791113	2.73280506352608	4.55422028718241	-1.26775466984508	2.33882693620921	2699	-2.34811134569302	141.808
633	0.626602290711634	0.649734687624632	2.6485823174136	4.49187917915213	-1.26012790715566	2.29629081572266	2562	-2.33051955630563	142.104
634	0.872157897706599	0.796331416795176	2.83925241494984	4.45962132179506	-1.25586374617362	2.36855279831086	2557	-2.3232650606837	142.398
635	0.687100567792574	0.753354527177336	2.75478940612406	4.43399958118416	-1.18250211992906	2.30031301022166	2570	-2.33190341571748	142.69
636	0.621355811758859	0.765818370857304	2.80007015165354	4.44348731622504	-1.25042924514915	2.36167989356879	2842	-2.33854753390796	142.978
637	0.631795066791782	0.590663727858251	2.73101151132107	4.54229118334304	-1.27060067668139	2.22914179351351	2720	-2.33003789097593	143.264
638	0.821896163304253	0.692765428312515	2.84477623098195	4.5726974822806	-1.23460128882107	2.28944571305936	2367	-2.31417719490456	143.548
639	0.738674246058643	0.717591244495638	2.74360653683778	4.46069438091264	-1.23621038067519	2.30990900811441	2611	-2.30130574364744	143.829
640	0.748927560045948	0.748927560045948	2.78704638184118	4.39620478397931	-1.11006408104688	2.34962004169902	2691	-2.30349763556183	144.107
641	0.692792003855803	0.777877311652324	2.81941537990479	4.35559556240875	-1.18085970878493	2.37774263590887	2742	-2.32154052227149	144.383
642	0.890768863079036	0.796084337852197	2.83547323202365	4.24420418030226	-1.29898389634577	2.31477835660108	2954	-2.2835744713318	144.657
643	0.871205204349943	0.906518667140363	2.96516445351106	4.31097266232131	-1.21659992790577	2.40032344072553	2779	-2.24520851932407	144.928
644	0.901865365056289	0.893281621364897	2.92410324300364	4.31842560498832	-1.17676024080105	2.30426859507516	2648	-2.20629157558948	145.196
645	0.945642943886682	0.900680156700396	2.92590318627465	4.32099509657202	-1.24948342814336	2.34678520503212	2637	-2.22042630966972	145.463
