Depth sed [m]	Age [ka BP]	Ti/terr	K/terr	Terr/Ca
2.186	32.446	0.448	0.420	0.198
2.188	32.468	0.448	0.416	0.191
2.190	32.490	0.449	0.420	0.176
2.192	32.512	0.444	0.423	0.176
2.194	32.534	0.449	0.411	0.182
2.196	32.556	0.445	0.417	0.174
2.198	32.578	0.442	0.418	0.169
2.200	32.600	0.446	0.430	0.165
2.202	32.622	0.427	0.427	0.167
2.204	32.644	0.441	0.429	0.177
2.206	32.666	0.442	0.424	0.196
2.208	32.688	0.459	0.406	0.210
2.210	32.710	0.457	0.399	0.231
2.212	32.731	0.462	0.393	0.275
2.214	32.752	0.471	0.382	0.272
2.216	32.773	0.457	0.399	0.325
2.218	32.794	0.472	0.388	0.321
2.220	32.815	0.478	0.382	0.298
2.222	32.836	0.465	0.394	0.273
2.224	32.857	0.445	0.410	0.204
2.226	32.878	0.443	0.406	0.161
2.228	32.899	0.413	0.434	0.137
2.230	32.920	0.430	0.418	0.149
2.232	32.942	0.427	0.432	0.169
2.234	32.964	0.434	0.417	0.173
2.236	32.986	0.445	0.424	0.176
2.238	33.008	0.449	0.404	0.183
2.240	33.030	0.443	0.413	0.173
2.242	33.052	0.441	0.418	0.181
2.244	33.074	0.444	0.417	0.185
2.246	33.096	0.442	0.419	0.179
2.248	33.118	0.455	0.406	0.177
2.250	33.140	0.444	0.423	0.176
2.252	33.162	0.440	0.418	0.163
2.254	33.184	0.437	0.421	0.163
2.256	33.206	0.439	0.424	0.173
2.258	33.228	0.427	0.428	0.161
2.260	33.250	0.434	0.428	0.167
2.262	33.272	0.450	0.415	0.180
2.264	33.294	0.447	0.423	0.173
2.266	33.316	0.431	0.426	0.178
2.268	33.338	0.440	0.419	0.186
2.270	33.360	0.455	0.413	0.195
2.272	33.380	0.444	0.408	0.196
2.274	33.400	0.452	0.414	0.195
2.276	33.420	0.436	0.420	0.181
2.278	33.440	0.442	0.422	0.213
2.280	33.460	0.460	0.405	0.204
2.282	33.482	0.435	0.423	0.190
2.284	33.504	0.440	0.424	0.182
2.286	33.526	0.450	0.415	0.189
2.288	33.548	0.434	0.423	0.202
2.290	33.570	0.441	0.425	0.196
2.292	33.592	0.453	0.413	0.208
2.294	33.614	0.472	0.392	0.245
2.296	33.636	0.453	0.415	0.208
2.298	33.658	0.449	0.417	0.207
2.300	33.680	0.466	0.402	0.232
2.302	33.702	0.451	0.412	0.231
2.304	33.724	0.444	0.425	0.202
2.306	33.746	0.466	0.400	0.242
2.308	33.768	0.461	0.399	0.246
2.310	33.790	0.471	0.388	0.279
2.312	33.811	0.470	0.390	0.238
2.314	33.832	0.443	0.418	0.224
2.316	33.853	0.463	0.391	0.223
2.318	33.874	0.458	0.408	0.222
2.320	33.895	0.452	0.413	0.220
2.322	33.916	0.446	0.416	0.230
2.324	33.937	0.454	0.393	0.252
2.326	33.958	0.457	0.404	0.243
2.328	33.979	0.463	0.394	0.240
2.330	34.000	0.466	0.398	0.252
2.332	34.022	0.457	0.401	0.267
2.334	34.044	0.459	0.385	0.285
2.336	34.066	0.459	0.384	0.368
2.338	34.088	0.467	0.391	0.400
2.340	34.110	0.474	0.379	0.463
2.342	34.132	0.472	0.384	0.413
2.344	34.154	0.465	0.382	0.397
2.346	34.176	0.469	0.383	0.468
2.348	34.198	0.466	0.388	0.471
2.350	34.220	0.482	0.367	0.304
2.352	34.242	0.479	0.379	0.247
2.354	34.264	0.467	0.383	0.210
2.356	34.286	0.483	0.377	0.217
2.358	34.308	0.456	0.399	0.161
2.360	34.330	0.471	0.395	0.171
2.362	34.350	0.460	0.410	0.148
2.364	34.370	0.466	0.394	0.147
2.366	34.390	0.457	0.407	0.146
2.368	34.410	0.459	0.395	0.163
2.370	34.430	0.467	0.393	0.176
2.372	34.452	0.471	0.394	0.160
2.374	34.474	0.467	0.395	0.163
2.376	34.496	0.474	0.401	0.173
2.378	34.518	0.469	0.398	0.168
2.380	34.540	0.470	0.398	0.163
2.382	34.562	0.487	0.379	0.168
2.384	34.584	0.468	0.397	0.165
2.386	34.606	0.468	0.396	0.165
2.388	34.628	0.474	0.392	0.174
2.390	34.650	0.493	0.382	0.169
2.392	34.672	0.473	0.392	0.163
2.394	34.694	0.470	0.397	0.159
2.396	34.716	0.475	0.393	0.161
2.398	34.738	0.468	0.400	0.165
2.400	34.760	0.462	0.401	0.178
2.402	34.782	0.482	0.392	0.172
2.404	34.804	0.467	0.388	0.160
2.406	34.826	0.470	0.391	0.169
2.408	34.848	0.448	0.412	0.180
2.410	34.870	0.470	0.391	0.196
2.412	34.890	0.464	0.394	0.204
2.414	34.910	0.450	0.405	0.205
2.416	34.930	0.469	0.388	0.209
2.418	34.950	0.460	0.402	0.180
2.420	34.970	0.471	0.395	0.180
2.422	34.992	0.475	0.393	0.194
2.424	35.014	0.489	0.378	0.198
2.426	35.036	0.470	0.395	0.196
2.428	35.058	0.475	0.395	0.200
2.430	35.080	0.457	0.403	0.189
2.432	35.102	0.479	0.392	0.194
2.434	35.124	0.488	0.388	0.203
2.436	35.146	0.467	0.400	0.186
2.438	35.168	0.457	0.400	0.186
2.440	35.190	0.471	0.400	0.181
2.442	35.212	0.473	0.402	0.176
2.444	35.234	0.466	0.405	0.177
2.446	35.256	0.477	0.388	0.183
2.448	35.278	0.471	0.388	0.190
2.450	35.300	0.462	0.395	0.184
