MCD	Age (ka BP)	Terrigenous %
48.95	1331.97	34.46
49	1333.47	32.45
49.05	1334.98	33.45
49.1	1336.49	31.44
49.15	1339.5	29.93
49.25	1341.01	29.43
49.3	1342.52	32.95
49.35	1344.02	36.97
49.4	1345.54	38.98
49.45	1347.04	38.98
49.5	1348.55	31.94
49.55	1350.06	23.9
49.6	1351.56	16.36
49.65	1353.07	15.86
49.7	1354.58	16.36
49.75	1356.09	17.87
49.8	1357.59	18.37
49.85	1359.22	18.87
49.9	1360.97	18.37
49.95	1362.71	17.37
50	1364.46	17.87
50.05	1366.2	17.87
50.1	1367.95	17.37
50.15	1369.7	16.36
50.2	1371.44	15.86
50.25	1373.19	14.85
50.3	1374.93	15.86
50.35	1376.68	19.88
50.4	1378.42	22.9
50.45	1380.16	26.41
50.5	1381.91	27.92
50.55	1383.65	26.41
50.6	1385.4	27.92
50.65	1388.89	29.43
50.75	1390.63	24.4
50.8	1392.37	19.38
50.85	1394.12	15.86
50.9	1395.86	14.85
50.95	1397.85	15.86
51	1400.06	14.85
51.05	1402.26	13.85
51.1	1404.48	14.85
51.15	1406.68	15.36
51.2	1408.9	17.37
51.25	1411.1	23.4
51.3	1413.32	29.43
51.35	1415.52	32.95
51.4	1417.73	36.97
51.45	1419.94	35.96
51.5	1422.15	32.45
51.55	1424.36	30.94
51.6	1426.57	28.93
51.65	1428.77	21.89
51.7	1430.99	19.38
51.75	1433.19	21.39
51.8	1435.41	22.9
51.85	1437.61	24.91
51.9	1439.83	27.42
51.95	1442.03	29.43
52	1444.23	27.42
52.05	1446.45	24.91
52.1	1448.65	20.88
52.15	1452.63	21.89
52.25	1454.59	40.49
52.3	1456.57	42.5
52.35	1458.53	40.49
52.4	1460.51	39.48
52.45	1462.48	39.48
52.5	1464.45	36.97
52.55	1466.42	34.96
52.6	1468.38	35.96
52.65	1470.36	39.48
52.7	1472.32	39.48
52.75	1474.3	42.5
52.8	1476.27	41.49
52.85	1478.23	35.46
52.9	1480.21	28.93
52.95	1482.17	21.89
53	1484.15	23.4
53.05	1486.11	25.91
53.1	1488.09	26.92
53.15	1490.06	23.4
53.2	1492.02	21.89
53.25	1494	23.4
53.3	1495.96	26.41
53.35	1497.94	29.93
53.4	1499.9	29.43
53.45	1501.87	28.93
53.5	1503.84	30.44
53.55	1505.81	30.94
53.6	1507.79	32.95
53.65	1511.73	33.95
53.75	1513.69	26.92
53.8	1515.66	23.4
53.85	1517.63	22.39
53.9	1519.6	21.89
53.95	1522.03	22.9
54	1524.46	26.92
54.05	1526.9	31.44
54.1	1529.34	33.95
