Age Ti/Ca_kaBP	KL09_TiCa	Age Hem_kaBP	KL09_Hem	Age MGSQ_kaBP	MGSG		time_kyr	Sanbao sim	MGSQ sim
1.37813	0.014	95.3583	0.371	30.6744	0.328876		22.25	-0.968	0.165078887
1.38575	0.016	95.6895	0.36	30.7789	0.324902		22.375	-0.873	0.164491621
1.39336	0.014	96.0207	0.358	30.893	0.320568		22.5	-0.834	0.164414707
1.40097	0.013	96.352	0.359	30.9975	0.316594		22.625	-0.897	0.164940068
1.40858	0.013	96.6833	0.359	31.1116	0.312259		22.75	-0.949	0.165745296
1.4162	0.013	97.0146	0.358	31.1972	0.309008		22.875	-0.899	0.16674264
1.42381	0.014	97.3459	0.356	31.2827	0.305757		23	-0.856	0.168380302
1.43142	0.012	97.6771	0.353	31.3778	0.303698		23.125	-0.802	0.171649252
1.43905	0.014	98.0084	0.349	31.4633	0.31442		23.25	-0.692	0.177438077
1.44666	0.012	98.3396	0.344	31.5869	0.329908		23.375	-0.696	0.185278354
1.45427	0.012	98.6709	0.338	31.6819	0.341822		23.5	-0.809	0.193069725
1.46188	0.009	99.0022	0.335	31.777	0.353736		23.625	-0.904	0.198873148
1.4695	0.011	99.3334	0.333	31.8816	0.366841		23.75	-1.099	0.202813086
1.47711	0.011	99.6647	0.333	32.0146	0.38352		23.875	-1.25	0.206044562
1.48472	0.013	99.996	0.335	32.1477	0.400199		24	-1.403	0.208658881
1.49234	0.011	100.327	0.341	32.2428	0.412113		24.125	-1.633	0.209991079
1.49995	0.011	100.659	0.348	32.3378	0.418091		24.25	-1.656	0.21011765
1.50757	0.009	100.99	0.355	32.4234	0.402102		24.375	-1.466	0.209822162
1.51518	0.008	101.321	0.361	32.5565	0.37723		24.5	-0.973	0.209710909
1.5228	0.011	101.652	0.366	32.6895	0.352359		24.625	-0.399	0.209991148
1.53041	0.008	101.984	0.371	32.8226	0.327487		24.75	-0.335	0.210518099
1.53802	0.01	102.315	0.375	32.9557	0.302615		24.875	-0.596	0.210950941
1.54564	0.011	102.646	0.38	33.0793	0.27952		25	-0.628	0.211076937
1.55325	0.011	102.977	0.386	33.1648	0.263531		25.125	-0.802	0.210985836
1.56086	0.009	103.309	0.394	33.2504	0.247542		25.25	-0.754	0.211144297
1.56848	0.011	103.64	0.403	33.3454	0.257785		25.375	-0.769	0.211932037
1.5761	0.01	103.971	0.415	33.4785	0.281927		25.5	-0.6	0.213098771
1.58371	0.016	104.302	0.426	33.6021	0.304346		25.625	-0.712	0.214081579
1.59132	0.014	104.634	0.436	33.7351	0.328488		25.75	-0.822	0.21434828
1.59894	0.015	104.918	0.446	33.8397	0.347458		25.875	-0.872	0.213225548
1.60655	0.011	105.188	0.453	33.9253	0.362978		26	-0.726	0.210433795
1.61416	0.014	105.457	0.456	34.0583	0.387121		26.125	-0.629	0.206497494
1.62177	0.012	105.727	0.457	34.1914	0.411264		26.25	-0.554	0.202641327
1.62939	0.012	105.996	0.454	34.4005	0.41006		26.375	-0.354	0.200384435
1.63701	0.013	106.265	0.446	34.5716	0.404019		26.5	-0.285	0.200025671
1.64462	0.012	106.535	0.434	34.7332	0.398314		26.625	-0.417	0.199965606
1.65224	0.013	106.804	0.418	34.8568	0.393951		26.75	-0.272	0.198553978
1.65985	0.014	107.074	0.4	34.9614	0.390259		26.875	0.086	0.195650015
1.66746	0.012	107.343	0.383	35.0374	0.387574		27	-0.069	0.192483217
1.67507	0.01	107.612	0.366	35.1229	0.384554		27.125	-0.19	0.190000442
1.68269	0.014	107.882	0.351	35.218	0.380062		27.25	-0.171	0.18745463
1.6903	0.009	108.151	0.337	35.3416	0.372746		27.375	-0.11	0.184111039
1.69791	0.012	108.42	0.329	35.4556	0.365993		27.5	-0.064	0.180933907
1.70554	0.01	108.69	0.328	35.6077	0.356989		27.625	0.05	0.17901498
1.71315	0.008	108.959	0.334	35.7218	0.350236		27.75	0.307	0.178519403
1.72076	0.01	109.229	0.344	35.8454	0.34292		27.875	0.363	0.179267796
1.72837	0.013	109.498	0.356	35.9024	0.339543		28	-3.94E-03	0.18019617
1.73599	0.011	109.767	0.371	36.0165	0.33279		28.125	-0.182	0.178839632
1.7436	0.011	110.037	0.391	36.14	0.328961		28.25	-0.184	0.174749465
1.75121	0.011	110.306	0.411	36.2731	0.345487		28.375	-0.205	0.172580337
1.75883	0.011	110.576	0.427	36.3872	0.359652		28.5	-0.226	0.175622826
1.76644	0.016	110.845	0.433	36.5013	0.373817		28.625	-0.102	0.179955433
1.77406	0.013	111.114	0.425	36.6153	0.387982		28.75	0.194	0.180749825
1.78167	0.009	111.384	0.409	36.7294	0.402148		28.875	0.454	0.178745968
1.78929	0.009	111.653	0.388	36.8244	0.413952		29	0.669	0.178007691
1.7969	0.008	111.923	0.369	36.891	0.422215		29.125	0.715	0.181723007
1.80451	0.008	112.192	0.359	36.967	0.431659		29.25	0.85	0.190874956
1.81213	0.006	112.461	0.361	37.0621	0.443463		29.375	1.051	0.20356349
1.81974	0.009	112.731	0.378	37.1666	0.436106		29.5	1.01	0.215452753
1.82735	0.006	113	0.407	37.2807	0.425861		29.625	0.789	0.223628658
1.83497	0.006	113.269	0.442	37.3853	0.416469		29.75	0.57	0.228784313
1.84259	0.007	113.539	0.474	37.4898	0.407078		29.875	0.356	0.232775023
1.8502	0.006	113.808	0.496	37.5754	0.399394		30	0.102	0.237018493
1.85781	0.006	114.078	0.506	37.6514	0.392564		30.125	-0.227	0.241118069
1.86543	0.008	114.347	0.503	37.718	0.386588		30.25	-0.483	0.242435289
1.87304	0.01	114.616	0.488	37.813	0.37805		30.375	-0.521	0.240468966
1.88065	0.012	114.886	0.463	37.9176	0.368659		30.5	-0.529	0.23966708
1.88826	0.008	115.143	0.431	38.0221	0.359268		30.625	-0.466	0.246424285
1.89588	0.01	115.366	0.397	38.1267	0.346265		30.75	-0.353	0.264083983
1.9035	0.009	115.588	0.364	38.2313	0.333262		30.875	-0.183	0.287238813
1.91111	0.009	115.811	0.334	38.3358	0.320258		31	-0.091	0.30373248
1.91873	0.009	116.033	0.31	38.4309	0.308437		31.125	6.85E-03	0.307848464
1.92634	0.011	116.256	0.29	38.5354	0.295434		31.25	0.319	0.304558806
1.93395	0.01	116.478	0.274	38.64	0.282431		31.375	0.495	0.297410494
1.94156	0.012	116.7	0.26	38.7065	0.274157		31.5	0.393	0.284200408
1.94918	0.012	116.922	0.248	38.7731	0.265882		31.625	0.354	0.267175632
1.95679	0.01	118.923	0.315	38.8396	0.257607		31.75	0.348	0.253611621
1.9644	0.011	119.146	0.334	38.9347	0.245786		31.875	0.339	0.246400775
1.97203	0.013	119.368	0.351	39.0392	0.246952		32	0.28	0.243813409
1.97964	0.014	119.591	0.365	39.1343	0.255373		32.125	0.132	0.243640742
1.98725	0.008	119.813	0.377	39.2293	0.263794		32.25	0.118	0.243216254
1.99486	0.013	120.036	0.388	39.3339	0.273056		32.375	0.233	0.23991919
2.00248	0.012	120.258	0.401	39.4099	0.279793		32.5	0.631	0.231888939
2.01009	0.01	120.48	0.416	39.4765	0.285687		32.625	0.973	0.220342588
2.0177	0.014	120.702	0.431	39.543	0.291582		32.75	1.12	0.212975018
2.02531	0.01	120.925	0.446	39.6191	0.298318		32.875	0.647	0.218161019
2.03293	0.011	121.147	0.459	39.7141	0.306739		33	0.044	0.233616508
2.04055	0.01	121.37	0.469	39.8092	0.31516		33.125	0.101	0.24749954
2.04816	0.011	121.592	0.477	39.9042	0.323581		33.25	0.196	0.250778417
2.05578	0.013	121.815	0.48	39.9993	0.318837		33.375	0.245	0.243608894
2.06339	0.01	122.037	0.478	40.0943	0.310802		33.5	0.413	0.230796671
2.071	0.011	122.259	0.472	40.1894	0.302768		33.625	0.594	0.215291996
2.07861	0.01	122.481	0.458	40.2845	0.294733		33.75	0.68	0.198805837
2.08623	0.011	122.704	0.435	40.37	0.287502		33.875	0.511	0.185562385
2.09384	0.011	122.926	0.406	40.4651	0.279468		34	0.14	0.179912894
2.10146	0.011	123.149	0.369	40.5316	0.273844		34.125	0.034	0.182552706
2.10908	0.012	123.371	0.335	40.5886	0.269023		34.25	0.087	0.192893895
2.47454	0.026	123.593	0.307	40.6552	0.263399		34.375	0.369	0.210575714
2.48215	0.016	123.816	0.284	40.7407	0.256168		34.5	0.643	0.23267505
2.48977	0.011	124.038	0.262	40.8263	0.248937		34.625	0.862	0.25653552
2.49738	0.012	124.261	0.239	40.8833	0.243716		34.75	0.78	0.281667865
2.505	0.013	124.482	0.216	40.9403	0.236497		34.875	0.691	0.303356853
2.51262	0.01	124.705	0.196	41.0164	0.226871		35	0.673	0.312984052
2.52023	0.013	124.994	0.18	41.1019	0.216041		35.125	0.692	0.308306985
2.52784	0.013	125.305	0.168	41.197	0.204009		35.25	0.583	0.297282596
2.53545	0.012	125.616	0.159	41.2825	0.19318		35.375	0.277	0.290543823
2.54307	0.015	125.927	0.153	41.3491	0.184757		35.5	-0.037	0.292638725
2.55068	0.013	126.238	0.151	41.4061	0.177537		35.625	-0.167	0.301533243
2.55829	0.012	126.549	0.155	41.4631	0.170318		35.75	0.042	0.312392306
2.56591	0.016	126.86	0.165	41.5487	0.159489		35.875	0.693	0.320738869
2.57353	0.014	127.171	0.187	41.6342	0.148659		36	0.95	0.324632069
2.58114	0.014	127.482	0.217	41.6913	0.14144		36.125	1.047	0.323038922
2.58875	0.013	127.793	0.259	41.7578	0.133017		36.25	1.221	0.316307893
2.59637	0.012	128.104	0.31	41.8148	0.125798		36.375	1.331	0.308984514
2.60398	0.01	128.415	0.368	41.9099	0.128549		36.5	1.336	0.30280932
