Depth [m]	Interpolated Bchron Age	Zr/Rb 	Ca/Ti	Rb/K
3.59799	4557.382	4.83575759	0.198944223	5.551259623
3.60898	4577.164	4.277422697	0.206215742	5.151881307
3.61999	4596.982	4.686630674	0.198143991	6.970079854
3.63099	4616.782	5.289398044	0.202458746	6.885164878
3.64199	4636.383	4.926571947	0.186891128	7.114207662
3.65299	4655.681	4.290958678	0.17819857	11.02934554
3.66403	4675.851	4.4045607	0.178030775	8.742285886
3.67499	4694.982	5.202175378	0.195151188	10.34325007
3.68599	4714.183	5.609313443	0.206782467	3.515030186
3.69699	4733.582	4.616665889	0.202744875	4.772642747
3.70799	4752.583	4.421775789	0.1970118	5.003976871
3.71899	4773.081	5.101150245	0.20542185	4.089523388
3.73	4793	5.457420603	0.198830507	4.097385779
3.74098	4812.666	4.59635199	0.20179846	3.596461633
3.75199	4831.781	4.756206586	0.204918007	3.658242958
3.76298	4852.066	4.897453706	0.207480863	3.641094658
3.77399	4871.182	4.928316509	0.208718273	3.252813998
3.78499	4890.483	5.01607134	0.213362966	2.568879545
3.796	4909.5	4.967153811	0.238486416	2.391235961
3.80703	4929.5055	4.753408738	0.210641834	3.563145866
3.81798	4948.566	5.467036731	0.219450815	2.98763174
3.829	4967.3	5.163120198	0.230484829	3.109761206
3.83999	4986.982	4.980196368	0.231062053	2.595128378
3.85099	5005.683	5.936844043	0.239231254	3.078284953
3.86198	5024.564	4.929602756	0.22114637	2.986886503
3.87299	5044.083	5.677792467	0.23185904	2.311594017
3.884	5063	6.45454044	0.224857762	2.501263696
3.89499	5081.7335	5.013925543	0.231433503	3.547306444
3.90603	5100.251	5.927906136	0.235185871	2.480652065
3.917	5120.3	6.128435625	0.229109037	2.630955684
3.92798	5140.364	5.232536611	0.231168586	2.101887727
3.93899	5160.182	6.39862086	0.232577442	1.773570367
3.94999	5181.98	6.333949987	0.252810686	1.849001618
3.96099	5202.881	5.192791066	0.247453656	2.359996506
3.972	5223.6	5.482452786	0.243755724	2.281904389
3.98299	5243.98	5.28648549	0.239966898	2.723424076
3.994	5264.8	4.653365066	0.264418375	3.045188768
4.00499	5283.982	5.012130869	0.266492724	2.608965018
4.01598	5304.362	5.931834352	0.264575909	1.76889963
4.02699	5325.98	6.208949742	0.281120807	1.654800655
4.03899	5348.6315	7.154658369	0.308217489	1.257689001
4.04999	5370.9795	5.797027722	0.300701059	1.593431684
4.10844	5484.88	6.395794009	0.255015026	2.319371976
4.11944	5508.768	7.035033095	0.214308231	3.98169114
4.13043	5531.0105	5.46539172	0.24851303	2.974851414
4.14144	5557.028	5.448393955	0.238534723	2.812545494
4.15244	5584.832	6.1391181	0.26247589	1.799868267
4.16345	5615.1425	5.409799439	0.28083736	2.610872204
4.17445	5643.8475	6.24890038	0.256989719	1.732545738
4.18544	5673.776	5.460793032	0.239108903	2.163726445
4.19651	5712.389	4.937411581	0.236896235	3.042556888
4.20945	5802.545	5.149499172	0.272661967	1.894805764
4.22044	5957.668	5.910481937	0.277165101	1.50000427
4.23144	6186.752	5.11870643	0.253437368	1.787775725
4.24244	6509.52	5.089581643	0.262346544	1.641956681
4.25343	6869.103	5.264875409	0.251349535	2.110995923
4.26444	7207.428	5.630979049	0.272318637	1.738702995
4.27547	7502.656	5.900567131	0.280495677	1.523018346
4.28644	7638.828	5.533151207	0.264969741	1.737916454
4.29744	7665.392	5.194367023	0.279547591	1.599359614
4.30844	7680.128	5.38920233	0.288811943	1.584670732
4.31944	7690.496	7.439938178	0.268732453	1.19923732
4.33043	7700.344	5.885125498	0.284857986	1.636822172
4.34144	7709.152	5.626349543	0.267374733	1.908701752
4.35244	7717.952	5.425027543	0.264112031	1.893148175
4.36343	7727.087	5.898245042	0.287875975	1.413322369
4.37449	7736.592	5.119911083	0.317962696	1.188225394
4.38544	7745.896	6.16355633	0.300894195	1.078880646
4.39644	7755.152	5.455407263	0.298642519	1.33704843
4.40743	7763.944	5.625921097	0.297757345	1.287039103
4.41843	7773.587	5.816725778	0.25874183	1.502433021
4.42944	7782.552	6.707318024	0.273606916	1.317191831
4.44044	7792.396	6.448906243	0.282993039	1.435721555
4.45144	7802.152	5.147759788	0.256478873	1.903815188
4.46244	7810.952	5.656988348	0.252360773	2.034692585
4.47347	7820.123	4.810506495	0.254142958	2.361043335
4.48444	7829.552	5.730552291	0.270001469	1.636762497
4.49544	7838.896	5.231422186	0.255025401	1.831827954
4.50644	7848.152	5.139244429	0.272781936	1.732881429
4.51744	7857.696	5.072790356	0.258602613	1.799706266
4.52844	7866.752	5.476007825	0.266008959	1.900235476
4.53944	7875.552	5.709755499	0.271376822	2.150016572
4.55043	7884.387	5.339336429	0.266913052	1.770615683
4.56143	7894.144	4.861893243	0.279978957	1.82797008
4.57247	7903.223	5.605291195	0.266368959	1.68638377
4.58343	7912.744	5.297420835	0.282893357	1.565943941
4.59443	7921.544	4.918809762	0.275425396	1.575018247
