anu	ins_chb_s	ins_chb_a	ins_tibet_s
131200	466.600920461876	404.093334119622	508.410894664573
131210	466.638197644693	404.074437645368	508.314859504996
131220	466.675234552985	404.055712416819	508.218807257876
131230	466.712030947728	404.037158370052	508.122738553906
131240	466.748586591591	404.018775441203	508.026654022241
131250	466.784901249418	404.00056356629	507.930554290671
131260	466.820974688175	403.98252268129	507.834439985442
131270	466.856806676585	403.964652722129	507.738311731494
131280	466.892396985622	403.946953624786	507.642170152129
131290	466.92774538816	403.929425325077	507.546015869463
131300	466.962851659214	403.912067758909	507.449849503848
131310	466.997715575705	403.894880862082	507.353671674471
131320	467.032336916777	403.877864570338	507.257482998984
131330	467.066715463374	403.861018819542	507.161284093568
131340	467.100850998645	403.844343545317	507.065075573006
131350	467.134743307804	403.827838683513	506.968858050624
131360	467.168392177923	403.811504169722	506.872632138372
131370	467.201797398331	403.795339939729	506.776398446633
131380	467.23495876027	403.779345929138	506.680157584545
131390	467.267876057008	403.763522073612	506.583910159724
131400	467.300549084121	403.747868308812	506.487656778255
131410	467.332977638782	403.732384570309	506.391398045004
131420	467.36516152062	403.717070793774	506.295134563268
131430	467.397100531178	403.701926914803	506.198866934967
131440	467.428794474026	403.686952869018	506.102595760677
131450	467.460243154788	403.672148591997	506.006321639352
131460	467.491446381196	403.657514019328	505.910045168792
131470	467.522403963043	403.643049086645	505.813766945126
131480	467.55311571215	403.628753729517	505.717487563243
131490	467.583581442358	403.614627883571	505.621207616631
131500	467.61380096972	403.600671484361	505.52492769725
131510	467.643774112176	403.586884467572	505.428648395721
131520	467.673500689918	403.573266768696	505.332370301293
131530	467.702980525063	403.559818323523	505.236094001737
131540	467.732213441906	403.546539067544	505.139820083441
131550	467.761199266685	403.533428936503	505.04354913149
131560	467.789937827855	403.520487865945	504.947281729393
131570	467.818428955811	403.507715791681	504.851018459454
131580	467.846672483134	403.49511264928	504.754759902504
131590	467.874668244462	403.482678374507	504.658506637917
131600	467.90241607646	403.470412903072	504.562259243737
131610	467.9299158179	403.458316170723	504.46601829673
131620	467.957167309614	403.446388113231	504.369784372038
131630	467.984170394619	403.434628666372	504.273558043674
131640	468.010924917885	403.423037765931	504.177339884103
131650	468.037430726546	403.411615347813	504.081130464469
131660	468.0636876698	403.400361347793	503.984930354524
131670	468.089695598926	403.389275701793	503.888740122708
131680	468.115454367339	403.378358345764	503.792560336005
131690	468.140963830371	403.367609215661	503.696391560135
131700	468.166223845717	403.357028247406	503.600234359295
131710	468.191234272931	403.346615377	503.50408929648
131720	468.215994973811	403.336370540559	503.407956933218
131730	468.240505812145	403.326293674126	503.311837829791
131740	468.264766653911	403.316384713787	503.215732544962
131750	468.288777367021	403.306643595706	503.119641636263
131760	468.31253782169	403.297070256161	503.023565659872
131770	468.336047890152	403.287664631282	502.927505170613
131780	468.359307446612	403.278426657332	502.831460721903
131790	468.382316367542	403.269356270712	502.735432865839
131800	468.405074531523	403.260453407663	502.639422153226
131810	468.427581819005	403.251718004655	502.543429133523
131820	468.449838112826	403.243149998072	502.44745435478
131830	468.471843297815	403.23474932449	502.351498363782
131840	468.493597260762	403.226515920297	502.255561705988
131850	468.515099890838	403.21844972219	502.159644925468
131860	468.536351079034	403.210550666739	502.063748565025
131870	468.557350718672	403.202818690601	501.967873166142
131880	468.578098705053	403.195253730561	501.87201926894
131890	468.598594935603	403.187855723297	501.776187412266
131900	468.618839309865	403.180624605744	501.68037813363
131910	468.638831729551	403.173560314666	501.584591969152
131920	468.658572098385	403.166662787058	501.488829453879
131930	468.678060322223	403.159931959849	501.393091121244
131940	468.697296309064	403.153367770079	501.297377503619
131950	468.716279969037	403.146970154877	501.201689131973
131960	468.73501121428	403.140739051374	501.106026535973
131970	468.753489959062	403.134674396726	501.010390244022
131980	468.771716119882	403.128776128238	500.914780783208
131990	468.789689615278	403.123044183131	500.819198679351
132000	468.807410365837	403.117478498903	500.723644456938
132010	468.823854284466	403.112878794153	500.627503380205
132020	468.84004643908	403.108443890094	500.531395789514
132030	468.855986777533	403.104173718077	500.435322194189
